x,y,Thermal Conductivity,Lattice Parameter(WPF),delta_d(SPF-WPF),d-spacing(WPF),Fluorite Size Disorder,Entropy,strain(LMFIT-dspacing),a111(LMFIT),a200(LMFIT),mismatch(LMFIT-lattice parameter),d111(LMFIT),d200(LMFIT),corr_length,fwhm111(LMFIT),delta_d/d
-2.5,1.6,0.851568281,5.236652,0.0187671186292028,2.618326,0.0989438061013487,4.122991873747064,0.127657,5.235941,5.274137,-0.007295,3.022972,2.637069,2.948660272867483,0.098005,0.0071676019827946556
-2.5,1.7,0.847871668,5.235591,0.0188532389875861,2.6177955,0.0988896676023966,4.127288373246746,0.127512,5.234672,5.273737,-0.007463,3.022239,2.636868,2.948660272867483,0.098424,0.007201952554195352
-2.5,1.8,0.873854674,5.235591,0.0188532389875861,2.6177955,0.0987406413863548,4.125311525182784,0.127512,5.234672,5.273737,-0.007463,3.022239,2.636868,2.948660272867483,0.098424,0.007201952554195352
-2.5,1.9,0.910063179,5.234575,0.0186563669630044,2.6172875,0.098694939249594,4.129110553267841,0.127534,5.233485,5.272404,-0.007437,3.021554,2.636202,2.948660272867483,0.099621,0.007128130540876536
-2.5,2.0,0.932446346,5.234575,0.0186563669630044,2.6172875,0.0985500361585783,4.127047198357451,0.127534,5.233485,5.272404,-0.007437,3.021554,2.636202,2.948660272867483,0.099621,0.007128130540876536
-2.5,2.1,1.007630543,5.234575,0.0186563669630044,2.6172875,0.0984120834033273,4.124485479653679,0.127534,5.233485,5.272404,-0.007437,3.021554,2.636202,2.948660272867483,0.099621,0.007128130540876536
-2.5,2.2,0.966530285,5.233395,0.0179533834719345,2.6166975,0.0983711157272952,4.128039671465953,0.127526,5.231882,5.270839,-0.007446,3.020628,2.635419,2.948660272867483,0.099568,0.006861084810886432
-2.5,2.3,1.053765131,5.233395,0.0179533834719345,2.6166975,0.0982337373224766,4.125535859163269,0.127526,5.231882,5.270839,-0.007446,3.020628,2.635419,2.948660272867483,0.099568,0.006861084810886432
-2.5,2.4,1.063112644,5.231875,0.0190508774283588,2.6159375,0.0981000023929109,4.122740099353305,0.127349,5.230126,5.270139,-0.007651,3.019614,2.635069,2.948660272867483,0.099956,0.0072826194923842034
-2.5,2.5,1.144766928,5.231875,0.0190508774283588,2.6159375,0.0980631345016319,4.125900201510515,0.127349,5.230126,5.270139,-0.007651,3.019614,2.635069,2.948660272867483,0.099956,0.0072826194923842034
-2.4,-2.5,0.678607758,5.24511,0.0203989782092195,2.622555,0.1039360346499177,3.920444007685073,0.127131,5.245331,5.286782,-0.007902,3.028393,2.643391,2.948660272867483,0.097076,0.007778284233970117
-2.4,-2.4,0.576335759,5.24511,0.0203989782092195,2.622555,0.1037920041252173,3.933037099570922,0.127131,5.245331,5.286782,-0.007902,3.028393,2.643391,2.948660272867483,0.097076,0.007778284233970117
-2.4,-2.3,0.616615801,5.244901,0.0198771563647595,2.6224505,0.1036533361261609,3.945260087801515,0.12724,5.245438,5.286226,-0.007776,3.028455,2.643113,2.948660272867483,0.096367,0.007579611651300759
-2.4,-2.2,0.59243337,5.244901,0.0198771563647595,2.6224505,0.1035463853533085,3.948751964950752,0.12724,5.245438,5.286226,-0.007776,3.028455,2.643113,2.948660272867483,0.096367,0.007579611651300759
-2.4,-2.1,0.681765854,5.24468,0.0196636367858751,2.62234,0.1034082525202444,3.960653640867216,0.127249,5.245217,5.285954,-0.007766,3.028328,2.642977,2.948660272867483,0.095942,0.007498507739604743
-2.4,-2.0,0.674482074,5.24468,0.0196636367858751,2.62234,0.103268611131423,3.972468208769897,0.127249,5.245217,5.285954,-0.007766,3.028328,2.642977,2.948660272867483,0.095942,0.007498507739604743
-2.4,-1.9,0.67153978,5.24468,0.0196636367858751,2.62234,0.1031594016653041,3.975601274858026,0.127249,5.245217,5.285954,-0.007766,3.028328,2.642977,2.948660272867483,0.095942,0.007498507739604743
-2.4,-1.8,0.608969611,5.244426,0.018917715705311,2.622213,0.1030224538820656,3.987126879725455,0.127448,5.244903,5.284429,-0.007536,3.028146,2.642214,2.948660272867483,0.095961,0.007214408480665377
-2.4,-1.7,0.735931319,5.244426,0.018917715705311,2.622213,0.1028856142920189,3.998573617111695,0.127448,5.244903,5.284429,-0.007536,3.028146,2.642214,2.948660272867483,0.095961,0.007214408480665377
-2.4,-1.6,0.0,5.244072,0.0186307087933328,2.622036,0.1028856142920189,3.998573617111695,0.127614,5.244878,5.283399,-0.007344,3.028132,2.641699,2.948660272867483,0.095868,0.007105435925873177
-2.4,-1.5,0.0,5.244072,0.0186307087933328,2.622036,0.1028337197762881,4.007724124347543,0.127614,5.244878,5.283399,-0.007344,3.028132,2.641699,2.948660272867483,0.095868,0.007105435925873177
-2.4,-1.4,0.0,5.244072,0.0186307087933328,2.622036,0.1027834026738794,4.016797134654301,0.127614,5.244878,5.283399,-0.007344,3.028132,2.641699,2.948660272867483,0.095868,0.007105435925873177
